Sentence,encode_tags
cho mình xin bài nhạc tên là gì với ạ,4
cho đáng_đời con quỷ về nhà lôi con nhà mày ra mà đánh,1
lo học đi yêu_đương lol gì hay lại thích học_sinh_học,1
uớc gì sau_này về già vẫn có_thể như cụ này,2
mỗi lần có video của con là cứ coi đi coi lại hoài cưng con quá,2
thằng kia sao mày bắt vợ với bồ tao dọn thế kia nhà mày ở đâu tao đến thịt mày chết,0
một lí_do trog muôn_vàn lí_do,4
thật hay đùa ác_vậy không_thể tin được,6
không phải con mình mà xem còn thấy đau như vậy huống gì người trong cuộc thật là phẫn_nộ mà cơ_quan_chức_năng làm_việc quá chậm_trễ đến giờ mà vẫn chưa tìm ra người chịu trách_nhiệm,0
nghe đi rồi khóc <NUM> trận cho thoải_mái đừng cố gồng mình lên nữa,5
công_nhận sáng_tạo thật đấy,2
đòn tấn_công cực gắt và cục sút của anh,1
trời nắng_nóng thế này mình muốn bán_nước không biết thu_nhập có cao không ạ <NUM>,4
minh biết nữa ne,2
mấy thằng củ lol việt nam nhảm_nhí,1
tui thi ́ ch va ̉ i lă ́ mày ma ̀ ăn nhỉ ̀ u no ́ người lă ́ mày mọi người anh ̣ bi ̣ lơ ̉ miê ̣ người,5
bếp dầu nhiều nhà vẫn dùng,4
nếu thấy phụ_nữ quá phức_tạp để hiểu và chinh_phục thì đây là cách giải_quyết vấn_đề,4
thời_buổi bây_chừ chuyện gì cũng có_thể xảy ra vậy nên thôi trất đừng nên tin ai,3
sau em này mà làm cô_giáo ngồi kể chuyện hs lại há mồm ra nghe,2
con chó đăng video mày bị ngu à mà mỗi mẩu lại hiện chữ ăn cặc à,0
coi video chưa hiểu gì đã làm ầm lên,1
chả mong gì nhiều chỉ mong về già được như hai ông_bà,2
yêu chết đi được,2
mày định lướt qua rồi nhưng khi đọc bình_luận của các bạn và xem kĩ lại thì mày đã rớt nước_mắt người cha thật vĩ_đại,5
xin đi chơi với bạn ngày tổng_kết không cho cứ bắt học miết khá mệt,5
cá_nhân mình nghĩ nó dừng hay đỗ đúng sai thì đã có ca pạt còn nó đỗ trước cửa_nhà mình mà oto hay xe không ra vào được thì lúc đó mới ý_kiến công_nhận bọn oto đỗ trước nhà nhìn chỉ muốn đốt,0
từ đầu năm giờ chắc chụp <NUM> lần rồi huhu sợ quá,3
tao gặp quả này thì bỏ xe mà chạy,3
thế con_trai là của ai cho,4
đây mí chính là cụ tổ của những chiếc sừng này,6
muốn share về mà sợ bị bạn nè phẫn_nộ quá,3
hồi học lớp <NUM> bảo bố đi mua sách_giáo_khoa cho xong bố đi mua nguyên bộ lớp <NUM> đầy_đủ từ sách_giáo_khoa đến vở bài_tập,5
nay buồn,5
cv không áp_lực môi_trường xung_quanh mới dễ tạo áp_lực,3
ai có link nhạc mấy bài trên không ạ hay vãi ra,2
đây người_ta gọi là khi đại_thánh_nhập hoặc là múa_lân đầu năm,4
phải bồi_thường thiệt_hại bị trầy_xước thân tàu tiền sơn lại mấy toa tàu chắc cũng bộn,4
làm công_nhân đã bị vắt kiệt_sức_khỏe cho đến khi bị thải,5
khi nào phường có chế_độ phát chồng khi mang thân đến đăng_kí_kết_hôn tự_nguyện,2
đéo được tích_sự gì,0
haiz thế_là chưa có kq gì tốt_đẹp cả,5
bản_thân cố_gắng cũng chẳng dễ_dàng gì,5
nói_chung là <NUM> lũ lừa_gạt thôi việt nam mình là vậy đó,1
thế em ăn cơm chưa,4
thu trăm tỷ phạt 5tr lại qua tỉnh khác hành_nghề ha_ha,4
chủ_yếu là bọn trẻ đú với bọn dân_trí thấp mà thích thể_hiện bác nhỉ,1
mày coi_chừng có ngày tao dã dô mặt_mày như dzầy,0
canh thời_gian đăng đúng vãi,6
quan_trọng mấy thằng đó có chọn mj không ngồi đó mà ảo_tưởng,1
học xong <NUM> như hết thanh_xuân có_lẽ phải bỏ lỡ <NUM> người,5
mình thi xong còn không khóc được,5
mỗi ngày mình ôm nhau <NUM> cái như này hén hí hí,2
trừ điểm trừ điểm,5
<NUM> triệu phạt một con mụ lừa_đảo phá_hủy niềm tin phật_giáo làm ô_uế đời_sống tâm_linh thật rẻ_rúng làm_sao,1
cả tuần không được nói_chuyện,5
mày cẩn_thận tao giết,0
cạn_lời với bọn súc_vật này làm xấu mặt người bắc giang,1
bài này tao có <NUM> cảm_xúc đầu_tiên về quán trà đến cảm_xúc quen lại c thy xong bị mẹ cấm,4
đẹp_trai quá,2
đóng cái lồn tao nè chứ đóng,0
khổ_thân người dân trước dự_án cao_su là dự_án cà_phê làm thêm dự_án nữa coi như một đời bỏ phí,5
hồi nhỏ bà mày có cho một con ngỗng mình tự tay nuôi nó từ ngày đó nó đeo mày như chó mèo vậy nhưng khi lớn nó lại mắc bệnh mà mất giờ cũng hơn <NUM> <NUM> năm rồi những nhớ nó lắm,5
hồi nhỏ đọc tao đã nghi nghi rồi,2
ngẫm_nghĩ cha của thánh gióng với sọ_dừa ăn mặn vãi,1
con cần bảo_vệ thì giết sạch còn con cần tiêu_diệt thì lại đem nuôi cuộc_sống lạ_lùng vãi,1
dù_sao thì con_trai vẫn nên là người mở lời trước à,2
ad cho hỏi nghệ_an lúc_nào mưa vậy ah ốm cũng cam lòng chứ vã lắm rồi,5
giận ngược_lại rồi giận luôn chứ có huề đéo đâu,5
tao được làm fan cứng giống mày rồi,2
xem cái này mới biết vốn tiếng anh của mình cũng khá,6
thằng lol này tao đéo biết nó sống tốt với mọi người xung_quanh như thế_nào nào nhưng nó đã ngu còn tỏ ra ngu hẳn nữa,1
ôi bé xinh gái vãi,2
cười sái mẹ quai_hàm,2
rồi khi mày có <NUM> ít tiền mày mới phát_hiện ra còn đéo cả có người đi cùng cơ,5
tự_dưng cay mẹ mắt,5
tao sợ thật_sự,3
thịt nướng lò xô ne ăn vậy mà không chết,2
tốt quá,2
ông nào viết vui_tính thế cưng thật,2
không hiểu sao nhìu người lại thả haha nhỉ,6
diễn_viên già vãi,1
ghét nhất mấy loại bép_xép thế thôi nhanh gọn lẹ,2
cưng quá đi,2
nhìn mẫu này lạ_mắt mà đẹp quá,6
tao cay mẹ khoé mắt,5
thấy mệt thêm chứ chẳng khỏe gì cả,1
đang ăn mỳ không có trứng nhạt lắm có rụng thì xin vài quả,2
cảm_ơn nói_chuyện nhật <NUM> nền khoa_học giáo_dục trí_tuệ văn_minh,2
tao mệt chúng_mày quá,1
hahaha lúc trước ca làm có <NUM> chị_em vui biết_bao,2
đụ thế kia thì có khác_nào mua cái bánh mà bị đứa bán hàng nó tạt cho gáo nước_lạnh đâu,1
các bạn đang bảo con này ah,4
má chủ dễ_thương vậy tao cũng muốn xin,2
kinh_nghiệm được truyền lại là khi nào nấu xong bỏ tí ` tro ` vào lần sau không phải nấu,2
có những con_người luôn phải chịu đắng_cay cta không được chọn gia_đình bạn_bè và càng không có quyền lựa_chọn cuộc_sống này hãy vui lên với tất_cả những gì ta đang có dù là hai bàn_tay_trắng,5
địt_mẹ không có cái loại nào nó ác man và tàn độc hơn là cái loại người xem mà điên đéo chịu được,0
nhìn thương quá lao_động nghiêm_túc,2
đm thực_tế như này còn hay tiếc là đéo ở gần mình,5
mấy trụ kia em không tag được,4
nhận nhầm con cặc phải nói là <NUM> thằng thì <NUM> thằng nuôi con thằng khác,0
ơ ơ ơ đây là đâu_vậy,6
gặm gặm cái đéo ý à bố gặm luôn mày giờ,0
thằng nào nói câu thế_thì đừng làm nghề này vậy nếu không có người làm nghề này thì ks sẽ mở_cửa cho chúng_mày vô àk người có_ăn_học có ý_thức sẽ không nói ra câu đó,1
không phải là trời không cho mày yêu vì mày quá ngulon,1
tặng quà_cáp gì tặng hộp nhỏ thôi nha đi hát_hò gì đừng đem thùng quà to như_vậy nha nó biết nó nhổ trụi lông nó ngắt mép chết đó,3
hết tiền rồi này,5
đẹp dẽ thương mà,2
tử_hình con_mẹ nó lũ chó_má không có tính người đi khổ_thân lũ trẻ,0
phim xem hay nhẹ_nhàng tình_cảm và cười vkl,2
thế làm_sao dỗ bạn gái đang giận,5
tao nói thật tao hiền lắm chứ bà lồn to kia mà gặp tao là ăn mấy cái mũ bảo_hiểm vào mặt rồi,0
loài này bé như ngón tay phàm_ăn lắm sợ luôn,3
phí dịch_vụ cao nhất chuyển tiền nội mạng trừ phí tởm nhất thái_độ làm_việc bố_láo nhất ít ưu_đãi nhất,1
đụ mẹ trailer kinh_dị cho lắm vô rạp gặp toàn bọn xàm ngồi cười,1
chẳng đủ dịu_dàng để níu bước chân anh,5
<NUM> cái xe cup này ngày_xưa bằng mấy cái nhà liền,4
mỗi phút bên em thật tuyệt_vời chỉ em mới cho anh cái cảm_giác đó,2
em chưa có người_yêu có ai yêu em không em cô_đơn quá,5
