Sentence,encode_tags
tẩy_chay công_ty thuỵ_điển nhưng vẫn ủng_hộ xiaomi tiktok huawei,2
` gió đưa cây cải về trời 1kg rau_muống dinh_dưỡng hơn 1kg thịt bò nha bây `,4
tao sợ báo việt_nam quá rồi từ vụ anh dưa_leo tới vụ này chán _,1
vừa phơi vài chiếc quần xịp của hm vừa nghe a leo diễn_giải,7
quả cuối video cách tẩy_chay quá đỉnh,2
phân_tích vấn_đề rất có chiều sâu nhìn góc_độ ở phương_diện <NUM> chiều phải nói dưa_leo hơi bị hay cho anh <NUM> like,2
em mới đọc tựa thôi là phải bay vô cmt liền anh quá chính_xác đừng tiếp_tay cho trung + tẩy_chay châu_âu nếu yêu nước thì tẩy_chay tiktok xiaomi huawei,2
trước giờ chưa mua đồ h mày nên mình quyết_định tẩy_chay h mày bằng cách tiếp_tục không mua đồ của nó,2
<NUM> <NUM> nay có thêm view ban_công nhà hàng_xóm thoáng mát ghia,2
em củng ấp_ủ những câu hỏi như anh em cảm_thấy buồn anh a leo à,5
tẩy_chay bằng cách mua hết áo của h mày để họ không bán dc quần,2
đợt trước kêu tẩy_chay nguyễn trần_trung_quân vì cái vụ gì lấy_lòng fan tq đó xong bây_giờ ra mv mới cũng thấy ủng_hộ ầm_ầm,1
trung_quốc không kiểm_duyệt vừa có video mới về cách mà chính_phủ trung_quốc tẩy_chay các nhãn hàng mà phải nói là tẩy cả não toàn đất_nước luôn mới đúng,0
thấm ở đoạn cuối ghê,2
đúng tẩy_chay ở vn chẳng có ý_nghĩa gì vụ tẩy_chay nổi_tiếng nhất vn là bột_ngọt vedan các đại_lí thấy giá rẻ nhập về bán nhiều hơn và người mua lạ còn tăng vì rẻ mà,4
chào_leo tui muốn thấy góc nhìn của ông về nạn quảng_cáo trên youtube kiểu các thần dược lừa_đảo ấy <NUM> đời nhà tui,4
mới coi chú kumahuy xong qa coi a dưa_leo liền lun đúng chanel tự_do bao_giờ cũng hay,2
sợ thiệt nói tẩy_chay dr_thanh tương_ớt chinsu c2 tân_hiệp_phát có tẩy được cái gì đâu,1
anh làm clip về việc sống thử trước hôn_nhân đi a,4
chưa coi thấy chủ_đề phải like,2
dua leo cũng có tài về phân_tích con_người lúc trước hơi quá_trớn nhưng nay biết kiểm_soát đỡ hơn trước,2
lấy điện_thoại xiaomi lên tiktok phản_đối h mày sử_dụng bản_đồ đường lưỡi bò,4
ta nói thích nhất cái cao_kiến ` chụp_mũ ` ta nói hay không ngờ luôn,6
<NUM> <NUM> nghe anh leo nói chí mạng quá không vẫn mãi theo_dõi clip của anh,2
đa_số các bạn hay đọc thông_tin vội_vàng mà quên phân_tích để xem nó hợp_lý hay không từ đó các bạn hoàn_toàn bị xỏ_mũi bởi truyền_thông mình muốn phân_tích để tìm ra vấn_đề và mở_rộng tư_duy và góc nhìn hơn cuối_cùng mình bị <NUM> nhóm bạn chửi sml không hiểu kiểu gì luôn bored dont want to say,4
hội đó là hội nào mẹ em cho bà kia mượn 20tr từ năm <NUM> viết đơn lên phường mà còn chưa đòi dc cái gì cũng phải có tiền thì người_ta mới làm ý em là tiền công ấy chứ không dễ đâu a ơi,4
tẩy_chay đường lưỡi bò mà xài xiaomi opo tik_tok one plus thua sao không tẩy_chay samsung luôn đi nó cũng có đăng bản_đồ đlb bên tq ấy,1
hế lu ah leo vô_địch thanh_lịch khắp zũ chụ,2
<NUM> <NUM> cà_khịa báo nhân_dân,0
mình tự nhận mình là thành_phần tẩy_chay theo phong_trào ` tuy nó phũ nhưng thật tế nó thật `,2
<NUM> <NUM> <NUM> <NUM> đó là một nước đi mà em éo thể lường trước được,6
ông tổ lái haha đỉnh lắm anh leo,2
có ai đang xem clip gặp quảng_cáo trà xanh không độ không,4
view nhà đối_diện đẹp,2
thấy a leo có làm clip về ` trầm_cảm ` rồi mong a sẽ có clip về ` tự kỉ ` ạ e thấy <NUM> khái_niệm này có vẻ giống giống nhau ở điểm nào đó nhưng không phân_biệt cụ_thể được,4
<NUM> dislike chắc là tẩy chai tất_cả <NUM> không,2
nghe tới cái đoạn đó tay rung phọt cơm ra luôn đó anh gan thật chứ,6
trước khi tẩy_chay h mày hãy tẩy_chay tik tok sam sung microsoft cũng có bản_đồ hình đường lưỡi bò đó tẩy đi tao cho đói hết,0
vụ chụp_mũ đã đx chứng_kiến <NUM> lần với <NUM> người làm nghệ_thuật mà mình biết đó là thành_lộc và đạo_diễn phim phượng_khấu nghệ_sĩ thành_lộc là người rất thẳng thắng nhất_là khi nói về vấn_đề tq còn phim phượng_khấu thì có cài cắm về chủ_quyền biển đảo hoàng_sa,0
anh nói lên những khía_cạnh khác nhau của sự_việc sâu_sắc và sâu_cay anh đúng là siêu cấp vô_địch_thủ khắp vũ_trụ,2
